OBJ.VEGOBJEKT-ID;OBJ.TYPE-ID;OBJ.VERSJON;MET.FØRSTE FOREKOMST;MET.OPPRETTET DATO;OBJ.STARTDATO;OBJ.SLUTTDATO;OBJ.SIST MODIFISERT;EGS.BRUKSOMRÅDE.1256;EGS.PRIMÆRAKTIVITET.1824;EGS.AVSTAND PERSONAKTIVITET (M).1823;EGS.STIGNING (NULL).1825;EGS.BREDDE (M).1682;EGS.DRENERINGSFORHOLD.1828;EGS.SIKTFORHOLD.12051;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.KONTROLLERT- OG GODKJENTDATO.11445;EGS.ETABLERINGSÅR.10267;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;LOK.FYLKESNUMMER;LOK.RIKSVEGRUTE;LOK.KONTRAKTSOMRÅDE;VSR.VEGSYSTEMREFERANSE;VSR.VEGKATEGORI;VSR.FASE;VSR.VEGNUMMER;VSR.STREKNING;VSR.DELSTREKNING;VSR.FRA_METER;VSR.TIL_METER;LOK.VEGLENKESEKVENSID;LOK.STARTPOSISJON;LOK.SLUTTPOSISJON;LOK.RETNING;LOK.SIDEPOSISJON;LOK.KJØREFELT;LOK.TYPEVEG;LOK.LENGDE;REL.FORELDER;REL.BARN;GEO.GEOMETRI;GEO.HØYDEREFERANSE;GEO.DATAFANGSTDATO;GEO.DATAFANGSTMETODE;GEO.NØYAKTIGHET;GEO.SYNBARHET;GEO.DATAFANGSTMETODEHØYDE;GEO.H-NØYAKTIGHET;GEO.MAX-AVVIK
715354924;46;2;1;;27.09.2024;;2025-04-30T11:44:07Z;Bolig;;;;;;;202443995-2;24.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=587942;Utvidet bruk;20.09.2024;20.09.2027;;;;Privat;Privat;;Trondheim;5001;Trøndelag;50;;5006 Trondheim 2020-2028,E5050 Signalanlegg Trondheim og Malvik 2022-2024,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV704 S3D1 m3293;F;V;704;3;1;3292,74;3292,74;72300;0,41908104;0,41908104;MED;V;;Enkel bilveg;0;;;POINT Z (272227.1 7022122.1 171.123);;;;;;;;
722978050;46;2;1;;19.01.2025;;2025-04-30T11:47:20Z;Naust;;;;;;;202422872-5 ;19.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=566672;Midlertidig tillatelse;10.12.2024;01.01.2028;;;;;;;Trondheim;5001;Trøndelag;50;;5006 Trondheim 2020-2028,E5050 Signalanlegg Trondheim og Malvik 2022-2024,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6704 S1D1 m1284;F;V;6704;1;1;1283,824;1283,824;72686;0,32437582;0,32437582;MED;H;;Enkel bilveg;0;;;POINT Z (275371.09 7022518.439 176.92);;;;;;;;
721931420;46;2;1;;24.06.2024;;2025-04-30T11:47:08Z;Bolig;;;;;;;202430101-2;28.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=573991;Midlertidig tillatelse;24.06.2024;01.05.2025;;;;Privat;Privat;;Trondheim;5001;Trøndelag;50;;5006 Trondheim 2020-2028,E5050 Signalanlegg Trondheim og Malvik 2022-2024,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6680 S1D1 m9981;F;V;6680;1;1;9981,345;9981,345;42831;0,98718886;0,98718886;MED;V;;Enkel bilveg;0;;;POINT Z (273135.395 7031469.367 85.554);;;;;;;;
721291561;46;3;1;;19.01.2025;;2025-04-30T11:46:56Z;Forretning;;;;;;;202336362-6;07.01.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=509141;Midlertidig tillatelse;15.01.2025;30.11.2025;;;;;;;Trondheim;5001;Trøndelag;50;;5006 Trondheim 2020-2028,5071 Skjøtselskontrakt Trondheim,E5050 Signalanlegg Trondheim og Malvik 2022-2024,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6668 S1D1 m2123;F;V;6668;1;1;2123,278;2123,278;41781;0,16659298;0,16659298;MED;H;;Enkel bilveg;0;;;POINT Z (273011.31 7043235.621 30.225);;;;;;;;
1022569040;46;1;1;;15.05.2025;;2025-05-15T11:34:35Z;Bolig;;;;;;;202521432;11.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619381#;Varig tillatelse;14.05.2025;14.05.2028;;;;Privat;Privat;;Steinkjer;5006;Trøndelag;50;;5008 Steinkjer 2021-2026,Skiltkontrakt Trøndelag FK 2020-2025,E5052 Trøndelag Nord 2025-2028,5008 Steinkjer 2026-2031;FV763 S1D1 m2760;F;V;763;1;1;2760;2760;578177;0,28189468;0,28189468;MED;V;;Enkel bilveg;0;;;POINT Z (330367.257 7105481.951 16.104);;;;;;;;
616275849;46;2;1;;19.01.2025;;2025-04-30T11:41:43Z;Hytte;;;;;;;202450284-4;06.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594308;Utvidet bruk;02.12.2024;02.12.2027;;;;Privat;Privat;;Frøya;5014;Trøndelag;50;;5002 Hitra 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5002 Hitra 2025-2030,E5051 Trøndelag Sør 2025-2028;FV6472 S1D1 m3511;F;V;6472;1;1;3511,063;3511,063;72539;0,69927917;0,69927917;MED;V;;Enkel bilveg;0;;;POINT Z (194199.556 7088471.096 19.078);;;;;;;;
616113050;46;1;1;;30.07.2015;;2025-06-13T10:58:56Z;Hytte;6-10 leiligheter;;;;;;202523799;28.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=621778#;Utvidet bruk;11.06.2025;;;1900;;Privat;Privat;;Frøya;5014;Trøndelag;50;;5002 Hitra 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5002 Hitra 2025-2030,E5051 Trøndelag Sør 2025-2028;FV6466 S1D20 m972;F;V;6466;1;20;971,766;971,766;72535;0,90286497;0,90286497;MED;V;;Enkel bilveg;0;;;POINT Z (189793.56 7090147.77 1.584);;;;;;;;
601768701;46;2;1;;13.08.2024;;2025-04-30T11:40:11Z;Bolig;;;;;;;202437401-2;06.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581347;Utvidet bruk;13.08.2024;13.08.2027;;;;Privat;Privat;;Røros;5025;Trøndelag;50;;5005 Røros 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030,E5051 Trøndelag Sør 2025-2028;FV31 S5D1 m4963;F;V;31;5;1;4962,756;4962,756;72824;0,38322588;0,38322588;MED;V;;Enkel bilveg;0;;;POINT Z (338158.2 6949660 730.03);;;;;;;;
1022571587;46;1;1;;16.05.2025;;2025-05-16T06:28:48Z;Industri;;;;;;;202520887;26.04.2025;;Midlertidig tillatelse;13.05.2025;31.12.2026;;;;Privat;Privat;;Holtålen;5026;Trøndelag;50;;5005 Røros 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030,E5051 Trøndelag Sør 2025-2028;FV6542 S1D1 m65;F;V;6542;1;1;65;65;72598;0,01037443;0,01037443;MED;V;;Enkel bilveg;0;;;POINT Z (311609.147 6973470.105 375.24);;;;;;;;
711294892;46;2;1;;03.03.2025;;2025-04-30T11:43:16Z;Gardsbruk;;;;;;;202507565-2 ;21.01.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=605443;Varig tillatelse;27.01.2025;27.01.2028;;;Denne avkjørselen skal saneres når ny er etablert. ;;;;Midtre Gauldal;5027;Trøndelag;50;;Skiltkontrakt Trøndelag FK 2020-2025,5001 Gauldal-Oppdal 2024-2029,E5051 Trøndelag Sør 2025-2028;FV6560 S2D1 m6647;F;V;6560;2;1;6646,801;6646,801;72613;0,66713645;0,66713645;MED;V;;Enkel bilveg;0;;;POINT Z (266734.672 6983491.83 562.221);;;;;;;;
