OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Avkjørsel, holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker;Kurvatur, horisontal;Kurvatur, stigning
715354924;Bolig;202443995-2;24.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=587942;Utvidet bruk;20.09.2024;20.09.2027;;Privat;Privat;;Trondheim;5001;FV704 S3D1 m3293;550;11;80;Lite streng;E - Lokale adkomstveger;11;1;-405;-0.5
722978050;Naust;202422872-5 ;19.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=566672;Midlertidig tillatelse;10.12.2024;01.01.2028;;;;;Trondheim;5001;FV6704 S1D1 m1284;293;7;60;Lite streng;E - Lokale adkomstveger;8;1;-415;-1.0
721931420;Bolig;202430101-2;28.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=573991;Midlertidig tillatelse;24.06.2024;01.05.2025;;Privat;Privat;;Trondheim;5001;FV6680 S1D1 m9981;1500;13;80;Streng;C - Lokale hovedveger;2;4;182;0.7
721291561;Forretning;202336362-6;07.01.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=509141;Midlertidig tillatelse;15.01.2025;30.11.2025;;;;;Trondheim;5001;FV6668 S1D1 m2123;15000;6;50;Streng;B - Regionale hovedveger;9;50;99999;-0.3
1022569040;Bolig;202521432;11.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619381#;Varig tillatelse;14.05.2025;14.05.2028;;Privat;Privat;;Steinkjer;5006;FV763 S1D1 m2760;2980;12;80;Streng;C - Lokale hovedveger;5;8;99999;2.4
616275849;Hytte;202450284-4;06.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594308;Utvidet bruk;02.12.2024;02.12.2027;;Privat;Privat;;Frøya;5014;FV6472 S1D1 m3511;300;9;80;Lite streng;E - Lokale adkomstveger;6;0;1046;0.1
616113050;Hytte;202523799;28.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=621778#;Utvidet bruk;11.06.2025;;;Privat;Privat;;Frøya;5014;FV6466 S1D20 m972;350;8;50;Lite streng;E - Lokale adkomstveger;15;0;243;-1.7
601768701;Bolig;202437401-2;06.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581347;Utvidet bruk;13.08.2024;13.08.2027;;Privat;Privat;;Røros;5025;FV31 S5D1 m4963;550;15;80;Streng;B - Regionale hovedveger;4;0;1205;-3.5
1022571587;Industri;202520887;26.04.2025;;Midlertidig tillatelse;13.05.2025;31.12.2026;;Privat;Privat;;Holtålen;5026;FV6542 S1D1 m65;600;15;50;Lite streng;E - Lokale adkomstveger;13;0;90;-2.7
601256049;Gardsbruk;202232037-2;19.08.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?subtype=2&recno=2285193&module=Document&VerID=2094328;Varig tillatelse;07.09.2022;07.09.2025;Flytting av avkjørsel;Privat;Privat;;Holtålen;5026;FV30 S6D1 m3918;1300;10;80;Streng;B - Regionale hovedveger;6;2;99999;3.6
711294892;Gardsbruk;202507565-2 ;21.01.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=605443;Varig tillatelse;27.01.2025;27.01.2028;Denne avkjørselen skal saneres når ny er etablert. ;;;;Midtre Gauldal;5027;FV6560 S2D1 m6647;350;10;80;Mindre streng;D - Lokale samleveger;9;2;2652;-8.0
711294829;Gardsbruk;202437782-2;07.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581728;Utvidet bruk;13.08.2024;13.08.2027;;Privat;Privat;;Midtre Gauldal;5027;FV6560 S2D1 m778;359;16;80;Mindre streng;D - Lokale samleveger;11;0;1964;5.0
601255990;Gardsbruk;202432336-3;19.06.2024;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3120579&VerID=2934867;Utvidet bruk;12.08.2024;12.08.2027;;Privat;Privat;;Midtre Gauldal;5027;FV30 S5D1 m1052;1300;10;80;Streng;B - Regionale hovedveger;3;1;99999;0.3
601256000;Skog/skogbruk;202448159-2;10.10.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592157;Midlertidig tillatelse;29.10.2024;29.10.2027;Usikker på om denne avkjørselen er godkjent fra tidligere.;Privat;Privat;;Midtre Gauldal;5027;FV30 S5D1 m2915;1300;10;80;Streng;B - Regionale hovedveger;4;3;-478;-2.4
712146783;Bolig;202321881-4 ;19.06.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=494621;Endret bruk;24.02.2025;24.02.2028;;Privat;Privat;;Melhus;5028;FV6578 S1D1 m5801;109;8;80;Lite streng;E - Lokale adkomstveger;5;1;-1437;-2.5
716506622;Bolig;202518851;15.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616795#;Utvidet bruk;13.05.2025;13.05.2028;;Privat;Privat;;Melhus;5028;FV6594 S1D1 m4277;703;9;60;Streng;C - Lokale hovedveger;6;3;2677;2.4
716024751;Bolig;202450592-2 ;12.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594616;Utvidet bruk;26.11.2024;26.11.2027;;Privat;Privat;;Skaun;5029;FV708 S1D1 m8529;1630;9;50;;C - Lokale hovedveger;8;5;-198;-1.1
719345046;Bolig;202521572;14.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619521;Utvidet bruk;15.05.2025;;;Privat;Privat;;Skaun;5029;FV6626 S1D1 m596;201;15;80;Lite streng;E - Lokale adkomstveger;14;1;713;0.4
