OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.PRIMÆRAKTIVITET.1824;EGS.SIKTFORHOLD.12051;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Avkjørsel, holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker;Kurvatur, horisontalelement;Kurvatur, stigning
1025223484;Bolig;;4x100;2024/60677;14.05.2024;;Varig tillatelse;19.02.2025;;Ny avkjørsel til fradelt bolig, Åseveien 135;Privat;Privat;;Eigersund;1101;Rogaland;FV4278 S1D1 m1408;100;10;80;Lite streng;E - Lokale adkomstveger;0;0;-558;-2.7
1025236953;Bolig;;6x45;2021/20963;05.01.2025;;Varig tillatelse;08.01.2025;;;Privat;Privat;;Eigersund;1101;Rogaland;FV4282 S1D1 m494;850;14;50;Lite streng;E - Lokale adkomstveger;0;4;-24;8.4
1025238261;Bolig;;4x60;2023/71315;23.12.2023;;Varig tillatelse;28.06.2024;;Fradeling;Privat;Privat;;Eigersund;1101;Rogaland;FV4286 S1D1 m6185;800;10;60;Mindre streng;D - Lokale samleveger;0;0;99999;3.7
1025214056;Industri;;6x45;2025/9557;14.01.2025;;Midlertidig tillatelse;03.02.2025;31.12.2025;Midlertidig avkjørsel til Stokkeland trafostasjon;Privat;Privat;;Sandnes;1108;Rogaland;FV505 S4D10 m993;6400;12;50;Meget streng;C - Lokale hovedveger;0;23;99999;-0.7
1025236984;Bolig;;4x45;2024/56258;23.04.2024;;Varig tillatelse;13.05.2024;;Flyttet avkjørsel - forbedret sikt;Privat;Privat;;Lund;1112;Rogaland;FV4242 S3D1 m5802;600;14;50;Lite streng;D - Lokale samleveger;1;2;99999;-1.8
1025214372;Bolig;;4x45;2024/69562;23.06.2024;;Endret bruk;28.06.2024;;;Privat;Privat;;Lund;1112;Rogaland;FV4256 S1D1 m208;400;6;50;Mindre streng;E - Lokale adkomstveger;0;1;99999;-8.2
1025280359;Bolig;;4x45;2024/88468;25.09.2024;;Varig tillatelse;16.10.2024;;;Privat;Privat;;Lund;1112;Rogaland;FV4242 S3D1 m10138;500;30;50;Mindre streng;D - Lokale samleveger;0;2;99999;-2.0
1025237118;Bolig;;4x100;2024/60500;08.05.2024;;Varig tillatelse;16.05.2024;;Utvidet bruk, ny bolig;Privat;Privat;;Bjerkreim;1114;Rogaland;FV4312 S1D1 m2322;120;10;80;Lite streng;E - Lokale adkomstveger;0;0;448;-2.5
1025223371;Industri;;4x30;2025/49895;30.06.2025;;Midlertidig tillatelse;04.07.2025;01.12.2025;Utskiftning av rør i Kv. Bølia.;Kommune;Kommune;;Hå;1119;Rogaland;FV4360 S1D1 m5793;7360;7;40;Streng;C - Lokale hovedveger;0;9;532;-3.3
1025223842;Bolig;;4x45;2024/60002;14.06.2024;;Utvidet bruk;27.06.2024;;;Privat;Privat;;Sola;1124;Rogaland;FV4554 S1D1 m838;4000;12;50;Streng;D - Lokale samleveger;0;21;99999;-0.9
1025223603;Bolig;;4x60;2024/50305;22.03.2024;;Utvidet bruk;22.03.2024;;;Privat;Privat;;Strand;1130;Rogaland;FV4642 S1D1 m403;500;10;60;Mindre streng;D - Lokale samleveger;0;1;-125;8.8
1025223577;Hytte;1-2 hytter;4x60;2023/73339;13.12.2023;;Utvidet bruk;10.01.2024;;;Privat;Privat;;Strand;1130;Rogaland;FV4658 S1D1 m8664;1600;12;60;Mindre streng;D - Lokale samleveger;0;4;-169;6.9
1025223531;Bolig;;4x60;2024/99600;24.11.2024;;Varig tillatelse;25.06.2025;;;Privat;Privat;;Tysvær;1146;Rogaland;FV4780 S1D1 m2616;900;10;60;Mindre streng;D - Lokale samleveger;0;3;99999;-3.7
1025223334;Skog/skogbruk;;6x115;2025/20552;10.02.2025;;Midlertidig tillatelse;10.04.2025;01.03.2026;Uttak av tømmer;Privat;Privat;;Vindafjord;1160;Rogaland;FV46 S5D1 m775;1050;22;80;Streng;B - Regionale hovedveger;1;5;99999;-3.8
1022005330;Bolig;1 gardsbruk i drift;;24/24491;22.01.2025;;Utvidet bruk;24.01.2025;;;Privat;Privat;;Porsgrunn;4001;Telemark;FV3262 S1D1 m3848;369;14;80;;E - Lokale adkomstveger;0;0;1013;1.6
1024478690;Bolig;6-10 leiligheter;;25/10981-2;06.05.2025;;Utvidet bruk;13.06.2025;;;Privat;Privat;;Bamble;4012;Telemark;FV3360 S2D1 m2626;284;11;60;;C - Lokale hovedveger;2;0;-119;5.8
1024478658;Skog/skogbruk;Tømmeropplagring/velteplass;;25/11114;06.05.2025;;Varig tillatelse;13.06.2025;;;Privat;Privat;;Bamble;4012;Telemark;FV3360 S1D1 m4647;1220;6;60;;C - Lokale hovedveger;2;3;99999;-2.8
1022241340;Skog/skogbruk;Tømmeropplagring/velteplass;6x78 meter;24/25375;28.11.2024;https://telemarkfylke.pj.360online.com/Journal/SearchRelated?caseYear=2024&sequenceNumber=25375&documentNumber=6#caseDocument_2024-25375-6;Varig tillatelse;10.02.2025;;;Privat;Privat;;Bamble;4012;Telemark;FV3352 S1D1 m3984;1500;7;60;;D - Lokale samleveger;0;2;160;1.1
1019279156;Bolig;> 10 leiligheter;;24/14800;08.05.2024;;Utvidet bruk;09.06.2024;;;Privat;Privat;;Bamble;4012;Telemark;FV3358 S1D1 m2601;200;9;80;;E - Lokale adkomstveger;0;0;-160;3.6
1018991840;Hytte;3-5 hytter;4x65 meter;24/06692;25.02.2024;;Varig tillatelse;11.03.2024;;;Privat;Privat;;Kragerø;4014;Telemark;FV3372 S1D1 m2130;283;9;80;;E - Lokale adkomstveger;0;0;-622;2.6
