"OBJ.VEGOBJEKT-ID";"EGS.BRUKSOMRÅDE.1256";"EGS.SAKSNUMMER.1822";"EGS.S√òKNAD MOTTATT DATO.12048";"EGS.ARKIVREFERANSE, URL.12050";"EGS.VEDTAK.10670";"EGS.VEDTAKSDATO.11444";"EGS.TILLATELSE GJELDER TIL DATO.12049";"EGS.TILLEGGSINFORMASJON.11566";"EGS.EIER.7993";"EGS.VEDLIKEHOLDSANSVARLIG.8056";"EGS.GEOMETRI, PUNKT.4753";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"VSR.VEGSYSTEMREFERANSE";"ADT_total";"√ÖDT, andel lange kj√∏ret√∏y";"Fartsgrense";"Holdningsklasse";"Funksjonsklasse";"Avkjorsler";"Trafikkulykker";"Vurdering";"Kommentar";"Kurvatur, horisontal";"Kurvatur, stigning";"ÅDT, total";"ÅDT, andel lange kjøretøy";"Avkjørsel, holdningsklasse";"Søknadstype"
715354924;"Bolig";"202443995-2";"24.08.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=587942";"Utvidet bruk";"20.09.2024";"20.09.2027";"";"Privat";"Privat";"";"Trondheim";5001;"FV704 S3D1 m3293";550.0;11.0;80.0;"Lite streng";"E - Lokale adkomstveger";11;1;"Enkel";"";-405.0;-0.5;550.0;11.0;"Lite streng";"Utvidet bruk"
722978050;"Naust";"202422872-5 ";"19.11.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=566672";"Midlertidig tillatelse";"10.12.2024";"01.01.2028";"";"";"";"";"Trondheim";5001;"FV6704 S1D1 m1284";293.0;7.0;60.0;"Lite streng";"E - Lokale adkomstveger";8;1;"Enkel";"";-415.0;-1.0;293.0;7.0;"Lite streng";"Midlertidig tillatelse"
721931420;"Bolig";"202430101-2";"28.05.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=573991";"Midlertidig tillatelse";"24.06.2024";"01.05.2025";"";"Privat";"Privat";"";"Trondheim";5001;"FV6680 S1D1 m9981";1500.0;13.0;80.0;"Streng";"C - Lokale hovedveger";2;4;"";"";182.0;0.7;1500.0;13.0;"Streng";"Midlertidig tillatelse"
721291561;"Forretning";"202336362-6";"07.01.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=509141";"Midlertidig tillatelse";"15.01.2025";"30.11.2025";"";"";"";"";"Trondheim";5001;"FV6668 S1D1 m2123";15000.0;6.0;50.0;"Streng";"B - Regionale hovedveger";9;50;"";"";99999.0;-0.3;15000.0;6.0;"Streng";"Midlertidig tillatelse"
1022569040;"Bolig";"202521432";"11.05.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619381#";"Varig tillatelse";"14.05.2025";"14.05.2028";"";"Privat";"Privat";"";"Steinkjer";5006;"FV763 S1D1 m2760";2980.0;12.0;80.0;"Streng";"C - Lokale hovedveger";5;8;"";"";99999.0;2.4;2980.0;12.0;"Streng";"Varig tillatelse"
616275849;"Hytte";"202450284-4";"06.11.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594308";"Utvidet bruk";"02.12.2024";"02.12.2027";"";"Privat";"Privat";"";"Fr√∏ya";5014;"FV6472 S1D1 m3511";300.0;9.0;80.0;"Lite streng";"E - Lokale adkomstveger";6;0;"Enkel";"";1046.0;0.1;300.0;9.0;"Lite streng";"Utvidet bruk"
616113050;"Hytte";"202523799";"28.05.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=621778#";"Utvidet bruk";"11.06.2025";"";"";"Privat";"Privat";"";"Fr√∏ya";5014;"FV6466 S1D20 m972";350.0;8.0;50.0;"Lite streng";"E - Lokale adkomstveger";15;0;"Enkel";"";243.0;-1.7;350.0;8.0;"Lite streng";"Utvidet bruk"
601768701;"Bolig";"202437401-2";"06.08.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581347";"Utvidet bruk";"13.08.2024";"13.08.2027";"";"Privat";"Privat";"";"R√∏ros";5025;"FV31 S5D1 m4963";550.0;15.0;80.0;"Streng";"B - Regionale hovedveger";4;0;"";"";1205.0;-3.5;550.0;15.0;"Streng";"Utvidet bruk"
1022571587;"Industri";"202520887";"26.04.2025";"";"Midlertidig tillatelse";"13.05.2025";"31.12.2026";"";"Privat";"Privat";"";"Holt√•len";5026;"FV6542 S1D1 m65";600.0;15.0;50.0;"Lite streng";"E - Lokale adkomstveger";13;0;"Vanskelig";"Anleggstrafikk + kryssing GSV";90.0;-2.7;600.0;15.0;"Lite streng";"Midlertidig tillatelse"
711294892;"Gardsbruk";"202507565-2 ";"21.01.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=605443";"Varig tillatelse";"27.01.2025";"27.01.2028";"Denne avkj√∏rselen skal saneres n√•r ny er etablert. ";"";"";"";"Midtre Gauldal";5027;"FV6560 S2D1 m6647";350.0;10.0;80.0;"Mindre streng";"D - Lokale samleveger";9;2;"";"";2652.0;-8.0;350.0;10.0;"Mindre streng";"Varig tillatelse"
