OBJ.VEGOBJEKT-ID,EGS.BRUKSOMRÅDE.1256,EGS.SAKSNUMMER.1822,EGS.SØKNAD MOTTATT DATO.12048,"EGS.ARKIVREFERANSE, URL.12050",EGS.VEDTAK.10670,EGS.EIER.7993,EGS.VEDLIKEHOLDSANSVARLIG.8056,LOK.KOMMUNE,LOK.KOMMUNENUMMER,VSR.VEGSYSTEMREFERANSE,ADT_total,"ÅDT, andel lange kjøretøy",Fartsgrense,Holdningsklasse,Funksjonsklasse,Avkjorsler,Trafikkulykker,Vurdering,Kommentar,"Kurvatur, horisontal","Kurvatur, stigning","ÅDT, total","ÅDT, andel lange kjøretøy","Avkjørsel, holdningsklasse",Søknadstype,ID,VEDTAK_BINÆR,Prediksjon_vedtak,Begrunnelse_vedtak,prob_avslag,Prediksjon_kategori,Forklaring_kategori,p_vanskelig
715354924,Bolig,202443995-2,24.08.2024,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=587942,Utvidet bruk,Privat,Privat,Trondheim,5001,FV704 S3D1 m3293,550.0,11.0,80.0,Lite streng,E - Lokale adkomstveger,11,1,Enkel,,-405.0,0.5,550.0,11.0,Lite streng,Utvidet bruk,f3a3510a-8a65-4b83-9933-03933694a502,Godkjent,Godkjent,"Søknaden gjelder utvidet bruk av eksisterende avkjørsel til boligformål på en fylkesveg med lav til moderat trafikk (ÅDT 550), fartsgrense 80 km/t, og holdningsklasse 'Lite streng'. Det er 11 avkjørsler på strekningen, noe som er relativt høyt, men fortsatt innenfor det som tidligere er godkjent for boligformål i tilsvarende saker med 'Lite streng' holdning. Trafikkulykker er lavt (1 ulykke), og funksjonsklassen er E – lokale adkomstveger, hvor det normalt gis tillatelse dersom tekniske krav oppfylles. Maskinlæringsmodellen gir en sannsynlighet for avslag på 35,6 %, altså i kategorien 'medium', men hovedfaktorene som trekker ned sannsynligheten for avslag er høy andel tunge kjøretøy og lav samlet trafikkbelastning. Retningslinjene (R701) tilsier at på veger med lav til moderat trafikk, lokal funksjon og lite streng holdning, skal søknader om boligavkjørsel normalt innvilges dersom det ikke er spesielle forhold som taler imot. Det er ikke oppgitt spesielle negative forhold som dårlig sikt, uheldig plassering eller konflikt med reguleringsplan. Derfor anbefales godkjenning, forutsatt at tekniske krav til utforming og sikt oppfylles.",35.6,Enkel,"p(Vanskelig)=0.02, threshold=0.50",0.02005910873413086
722978050,Naust,202422872-5 ,19.11.2024,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=566672,Midlertidig tillatelse,,,Trondheim,5001,FV6704 S1D1 m1284,293.0,7.0,60.0,Lite streng,E - Lokale adkomstveger,8,1,Enkel,,-415.0,1.0,293.0,7.0,Lite streng,Midlertidig tillatelse,9d1afee1-fae3-4114-acc5-99e25346f92d,Godkjent,Godkjent,"Søknaden gjelder midlertidig avkjørsel til naust på en veg med lav trafikkmengde (ÅDT 293), fartsgrense 60 km/t, og holdningsklasse 'lite streng'. Retningslinjene (R701, kap. 6.2.4 og Vedlegg 3) tilsier at avkjørsler til fritidsbebyggelse/naust på strekninger med 'lite streng holdning' normalt kan tillates, forutsatt at tekniske krav oppfylles. Selv om maskinlæringsmodellen gir høy sannsynlighet for avslag (57.8 %), er dette ikke avgjørende alene. Det er 8 avkjørsler fra før, men dette er ikke uvanlig på lokal adkomstveg med lav ÅDT. Ingen alvorlige trafikkulykker, og det er ikke oppgitt spesielle negative forhold. Søknaden er midlertidig, hvilket gir ytterligere rom for godkjenning. Det er ikke oppgitt at avkjørselen vil forverre trafikksikkerheten eller transportfunksjonen vesentlig. På denne bakgrunn bør søknaden godkjennes, med vanlige vilkår om teknisk utforming og opprydding etter bruk.",57.8,Enkel,"p(Vanskelig)=0.02, threshold=0.50",0.021810481324791908
616275849,Hytte,202450284-4,06.11.2024,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594308,Utvidet bruk,Privat,Privat,Frøya,5014,FV6472 S1D1 m3511,300.0,9.0,80.0,Lite streng,E - Lokale adkomstveger,6,0,Enkel,,1046.0,0.1,300.0,9.0,Lite streng,Utvidet bruk,7c28a877-755a-4edf-b53f-63447fd1c038,Godkjent,Godkjent,"Søknaden gjelder utvidet bruk av eksisterende avkjørsel til hytte på en fylkesveg (FV6472) i Frøya kommune. Vegens funksjonsklasse er E (lokal adkomstveg) og holdningsklassen er 'lite streng', noe som tilsier en liberal praksis for slike søknader, jf. Håndbok R701 vedlegg 3. Trafikkmengden er lav (ÅDT 300), fartsgrensen er 80 km/t, og det er 6 avkjørsler på strekningen, men ingen registrerte trafikkulykker. Maskinlæringsmodellen gir en middels sannsynlighet for avslag (39,2 %), men de viktigste faktorene som trekker mot avslag (antall avkjørsler, fartsgrense) er moderate, og flere faktorer trekker tydelig mot godkjenning (lav andel tunge kjøretøy, lav trafikk, kurvatur/stigning). Retningslinjene åpner for godkjenning av slike søknader så lenge tekniske krav oppfylles og det ikke er spesielle trafikksikkerhetsutfordringer, noe som ikke er dokumentert her. Det er heller ikke oppgitt forhold som tilsier avslag, som høy avkjørselstetthet, uheldig plassering eller konflikt med reguleringsplan. På denne bakgrunn skal søknaden godkjennes, forutsatt at tekniske krav til utforming og sikt oppfylles.",39.2,Enkel,"p(Vanskelig)=0.05, threshold=0.50",0.05031656101346016
616113050,Hytte,202523799,28.05.2025,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=621778#,Utvidet bruk,Privat,Privat,Frøya,5014,FV6466 S1D20 m972,350.0,8.0,50.0,Lite streng,E - Lokale adkomstveger,15,0,Enkel,,243.0,1.7,350.0,8.0,Lite streng,Utvidet bruk,9de7ba6c-1dd4-4c32-92f8-dacf7429fe95,Godkjent,Godkjent,"Søknaden gjelder utvidet bruk av avkjørsel til hytte på FV6466 i Frøya kommune, med privat eier og vedlikeholdsansvar. Vegens funksjonsklasse er E (lokal adkomstveg), fartsgrense er 50 km/t, og holdningsklasse er 'lite streng'. Trafikkmengden er lav (ÅDT 350), antall avkjørsler er 15, og det er ingen registrerte trafikkulykker. Maskinlæringsmodellen gir en sannsynlighet for avslag på 35,4 %, som er i kategorien 'medium sannsynlighet for avslag', men de viktigste faktorene som trekker mot avslag har verdier 0, mens faktorer som trekker mot godkjenning har betydelig effekt (særlig 'Total trafikkmengde per år × andel tunge kjøretøy' med verdi 9800 og effekt -0.123). Retningslinjene i Håndbok R701 tilsier at på veger med lav trafikk (<500 ÅDT), lokal funksjon og lav fartsgrense, samt 'lite streng' holdningsklasse, skal avkjørselssøknader til fritidsbebyggelse normalt innvilges, forutsatt at tekniske krav oppfylles. Det er ikke oppgitt spesielle forhold som tilsier avslag, og det er ingen ulykker eller negative kommentarer. Samlet vurdering tilsier at søknaden bør godkjennes.",35.4,Enkel,"p(Vanskelig)=0.01, threshold=0.50",0.012677561491727829
1022571587,Industri,202520887,26.04.2025,,Midlertidig tillatelse,Privat,Privat,Holtålen,5026,FV6542 S1D1 m65,600.0,15.0,50.0,Lite streng,E - Lokale adkomstveger,13,0,Vanskelig,Anleggstrafikk + kryssing GSV,90.0,2.7,600.0,15.0,Lite streng,Midlertidig tillatelse,da47b38a-5609-4e6b-87ac-a68c117f7f54,Godkjent,Godkjent,"Søknaden gjelder midlertidig avkjørsel for industri, med privat eier og vedlikeholdsansvar, på en fylkesveg med lav trafikk (ÅDT 600), lav fartsgrense (50 km/t), og i en strekning med 'lite streng' holdningsklasse. Det er 13 avkjørsler fra før, men ingen registrerte trafikkulykker. Maskinlæringsmodellen gir en lav sannsynlighet for avslag (10,6 %), og de viktigste faktorene trekker i retning av godkjenning: høy andel tunge kjøretøy og kurvatur/stigning reduserer sannsynligheten for avslag. Retningslinjene (R701) tilsier at på veger med lav trafikk, lav fartsgrense og lokal funksjon, samt 'lite streng' holdningsklasse, kan midlertidig avkjørsel normalt gis dersom tekniske krav oppfylles. Det er ingen alvorlige trafikksikkerhetsinnvendinger, og midlertidig tillatelse kan gis med vilkår om opprydding og eventuell tilpasning til fremtidig løsning. Kommentar om anleggstrafikk og kryssing av GSV må følges opp med tekniske vilkår, men er ikke tilstrekkelig til avslag. Samlet sett bør søknaden godkjennes med relevante vilkår.",10.6,Vanskelig,"p(Vanskelig)=0.92, threshold=0.50",0.9188745617866516
719345046,Bolig,202521572,14.05.2025,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619521,Utvidet bruk,Privat,Privat,Skaun,5029,FV6626 S1D1 m596,201.0,15.0,80.0,Lite streng,E - Lokale adkomstveger,14,1,Enkel,,713.0,0.4,201.0,15.0,Lite streng,Utvidet bruk,18b92726-f8d6-48e1-8597-29e9654b61bc,Godkjent,Avslag,"Søknaden gjelder utvidet bruk av eksisterende avkjørsel til boligformål på en fylkesveg (FV6626) i Skaun kommune, med fartsgrense 80 km/t, holdningsklasse 'lite streng', og funksjonsklasse E (lokal adkomstveg). Det er allerede 14 avkjørsler på strekningen, og trafikkmengden er lav (ÅDT 201). Selv om holdningsklassen tilsier en liberal praksis, tilsier det høye antallet avkjørsler at trafikksikkerheten kan være utfordret, noe som også er i tråd med retningslinjene i Håndbok R701 kap. 6.1.1, hvor det presiseres at ulykkesrisikoen øker med antall avkjørsler. Det er også registrert én trafikkulykke på strekningen. Maskinlæringsmodellen gir en høy sannsynlighet for avslag (55,6 %), og de viktigste faktorene som øker sannsynligheten for avslag er knyttet til kombinasjonen av trafikkmengde, kurvatur/stigning og antall avkjørsler. Selv om noen faktorer trekker i retning av godkjenning (lav trafikk, lokal veg, lite streng holdning), veier hensynet til trafikksikkerhet og allerede høy avkjørselstetthet tyngst. I tråd med praksis i eksemplene (avslag ved mange avkjørsler selv på lokalveg), og retningslinjene om restriktiv praksis ved høy avkjørselstetthet, anbefales avslag.",55.6,Enkel,"p(Vanskelig)=0.04, threshold=0.50",0.039794404059648514
719460568,Bolig,202453232-2,16.12.2024,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297,Utvidet bruk,Privat,Privat,Skaun,5029,FV6634 S1D1 m1897,90.0,7.0,80.0,Lite streng,E - Lokale adkomstveger,8,1,Vanskelig,,80.0,10.9,90.0,7.0,Lite streng,Utvidet bruk,d6856437-cef4-4bad-8460-7a33a489fff0,Godkjent,Godkjent,"Søknaden gjelder utvidet bruk av eksisterende avkjørsel til boligformål på en fylkesveg med lav trafikkmengde (ÅDT 90), lav andel tunge kjøretøy (7), og en fartsgrense på 80 km/t. Holdningsklassen er 'Lite streng', og funksjonsklassen er 'E - Lokale adkomstveger', som tilsier en liberal praksis for boligavkjørsler dersom tekniske krav oppfylles. Det er 8 avkjørsler på strekningen, noe som ikke er uvanlig for denne vegklassen og trafikkmengden. Det er kun registrert én trafikkulykke, og ingen spesielle negative forhold er nevnt. Maskinlæringsmodellen gir en lav til middels sannsynlighet for avslag (22,4 %), og de viktigste faktorene trekker i retning av godkjenning (bl.a. lav trafikkmengde, lav andel tunge kjøretøy, og gunstig kurvatur/stigning). Retningslinjene (Håndbok R701) tilsier at på veger med lav trafikk og lite streng holdning skal slike søknader normalt innvilges, forutsatt at tekniske krav til utforming og sikt oppfylles. Det er ikke oppgitt forhold som tilsier avslag, som høy avkjørselstetthet, dårlig trafikksikkerhet eller konflikt med reguleringsplan. Derfor bør søknaden godkjennes, eventuelt med vanlige vilkår om teknisk utforming.",22.4,Vanskelig,"p(Vanskelig)=0.50, threshold=0.50",0.5017195343971252
1024620199,Bolig,202524823,12.06.2025,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=622819#,Utvidet bruk,Privat,Privat,Stjørdal,5035,FV6788 S2D1 m18,951.0,11.0,40.0,Lite streng,E - Lokale adkomstveger,8,0,Enkel,,99999.0,1.2,951.0,11.0,Lite streng,Utvidet bruk,08703cc2-890b-4c85-9fd7-56a21d4a3be6,Godkjent,Godkjent,"Søknaden gjelder utvidet bruk av avkjørsel til boligformål på en fylkesveg med lav fartsgrense (40 km/t), moderat trafikkmengde (ÅDT 951), og i en strekning med 'lite streng' holdningsklasse. Det er riktignok 8 avkjørsler på strekningen, men dette er innenfor det som ofte aksepteres for lokale adkomstveger i områder med lite streng holdning, jf. retningslinjene (vedlegg 3, IV). Det er ingen registrerte trafikkulykker, og funksjonsklassen er E (lokal adkomstveg), som tilsier at det skal utvises en liberal praksis så lenge tekniske krav oppfylles. Maskinlæringsmodellen gir lav sannsynlighet for avslag (10,9 %), og de viktigste faktorene trekker i retning av godkjenning (høy trafikkmengde × andel tunge kjøretøy og kurvatur/stigning reduserer sannsynligheten for avslag). Det er ikke oppgitt spesielle forhold som tilsier avslag, og det er ikke dokumentert at avkjørselen vil forverre trafikksikkerheten eller trafikkavviklingen vesentlig. Søknaden bør derfor godkjennes, forutsatt at tekniske krav til utforming og sikt oppfylles.",10.9,Enkel,"p(Vanskelig)=0.05, threshold=0.50",0.04880652576684952
615543130,Bolig,202131549-4 ,13.05.2024,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=407094,Utvidet bruk,Privat,Privat,Hitra,5056,FV6448 S1D1 m5551,427.0,22.0,60.0,Lite streng,E - Lokale adkomstveger,10,1,Enkel,,-201.0,0.1,427.0,22.0,Lite streng,Utvidet bruk,eac3449a-12ca-44ad-8aba-dc716b43eb24,Godkjent,Godkjent,"Søknaden gjelder boligformål på en lokal adkomstveg (funksjonsklasse E) med lav trafikkmengde (ÅDT 427), fartsgrense 60 km/t og holdningsklasse 'Lite streng'. Det er 10 eksisterende avkjørsler, noe som er relativt mange, men fortsatt innenfor det som normalt aksepteres på slike veger med denne holdningsklassen. Trafikksikkerheten vurderes som akseptabel, da det kun har vært én trafikkulykke og fartsgrensen er satt til 60 km/t, noe som ofte reflekterer eksisterende avkjørselstetthet. Maskinlæringsmodellen gir en lav til middels sannsynlighet for avslag (28,3 %), og de viktigste faktorene trekker i retning av godkjenning: høy andel tunge kjøretøy per år og lav total trafikkmengde gir lav risiko. Søknadstypen er 'Utvidet bruk', ikke ny avkjørsel, og det er ikke oppgitt spesielle utfordringer i vurderingen. I henhold til Håndbok R701 og praksis for 'Lite streng' holdningsklasse, kan avkjørsel normalt godkjennes dersom tekniske krav oppfylles. Det er ikke oppgitt forhold som tilsier avslag, som høy fartsgrense, høy trafikkmengde, eller spesielle trafikksikkerhetsutfordringer. Derfor bør søknaden godkjennes, eventuelt med vanlige tekniske vilkår.",28.3,Enkel,"p(Vanskelig)=0.02, threshold=0.50",0.024214690551161766
1022569230,Forretning,202519020,17.04.2025,https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616964#,Avslag,,,Ørland,5057,FV6346 S1D1 m45,350.0,9.0,60.0,Lite streng,E - Lokale adkomstveger,3,0,Vanskelig,,-327.0,2.7,350.0,9.0,Lite streng,Varig tillatelse,d562a6d8-7d14-49f4-bf6d-0e82b14ba2ab,Avslag,Godkjent,"Søknaden gjelder varig avkjørsel for forretning på en fylkesveg med lav til moderat trafikk (ÅDT 350), fartsgrense 60 km/t, og kun 3 eksisterende avkjørsler. Holdningsklassen er 'lite streng', og funksjonsklassen er E (lokal adkomstveg), som tilsier en liberal praksis for avkjørsler så lenge tekniske krav oppfylles. Det er ingen registrerte trafikkulykker, og ingen faktorer som tilsier høy risiko for trafikksikkerhet eller vesentlig forringelse av vegens transportfunksjon. Maskinlæringsmodellen gir en moderat sannsynlighet for avslag (30 %), men de viktigste faktorene trekker i retning av godkjenning: lav avkjørselstetthet, lav andel tunge kjøretøy, og gunstig kurvatur/stigning. Retningslinjene (R701) tilsier at på veger med 'lite streng' holdning og lokal funksjon skal avkjørsel normalt kunne tillates dersom tekniske krav oppfylles. Det er heller ikke oppgitt forhold som tilsier at søknaden bør avslås ut fra trafikksikkerhet, miljø eller transportfunksjon. Derfor bør søknaden godkjennes, forutsatt at tekniske krav til utforming og sikt oppfylles.",30.0,Vanskelig,"p(Vanskelig)=0.98, threshold=0.50",0.978801965713501
