iter	Passed	Remaining
0	7	9992
1	15	10019
2	22	9898
3	31	10255
4	38	9970
5	46	9975
6	54	9999
7	62	10057
8	68	9876
9	76	9829
10	83	9737
11	90	9718
12	97	9628
13	103	9551
14	110	9482
15	117	9421
16	124	9378
17	130	9317
18	138	9311
19	144	9260
20	151	9250
21	158	9205
22	164	9135
23	170	9050
24	176	8989
25	182	8940
26	188	8895
27	195	8902
28	202	8875
29	209	8856
30	215	8821
31	221	8772
32	227	8716
33	233	8687
34	241	8719
35	248	8709
36	253	8661
37	259	8613
38	265	8596
39	271	8561
40	278	8560
41	287	8605
42	294	8604
43	302	8633
44	311	8700
45	322	8782
46	332	8851
47	340	8888
48	348	8892
49	354	8873
50	362	8871
51	369	8861
52	376	8868
53	383	8855
54	391	8854
55	397	8827
56	404	8810
57	410	8795
58	417	8771
59	425	8792
60	436	8860
61	445	8894
62	458	9006
63	468	9047
64	478	9091
65	486	9096
66	495	9119
67	505	9150
68	511	9127
69	518	9116
70	526	9121
71	535	9128
72	543	9134
73	551	9138
74	558	9129
75	566	9125
76	574	9122
77	582	9121
78	589	9109
79	596	9101
80	603	9084
81	610	9064
82	617	9060
83	625	9050
84	633	9050
85	640	9036
86	647	9028
87	654	9013
88	661	9002
89	668	8987
90	676	8991
91	686	9012
92	697	9058
93	707	9074
94	716	9090
95	723	9072
96	731	9076
97	739	9067
98	746	9051
99	753	9038
100	760	9029
101	767	9016
102	775	9006
103	780	8980
104	786	8954
105	793	8940
106	799	8916
107	807	8917
108	814	8895
109	823	8907
110	831	8911
111	839	8901
112	846	8893
113	853	8876
114	859	8857
115	865	8834
116	872	8819
117	878	8798
118	886	8798
119	893	8786
120	900	8778
121	907	8761
122	913	8743
123	920	8730
124	926	8712
125	933	8696
126	939	8675
127	945	8656
128	951	8640
129	958	8628
130	965	8613
131	972	8605
132	978	8587
133	984	8568
134	990	8549
135	996	8531
136	1003	8515
137	1009	8499
138	1016	8488
139	1021	8467
140	1027	8445
141	1033	8429
142	1040	8416
143	1047	8407
144	1054	8398
145	1060	8384
146	1066	8368
147	1074	8360
148	1081	8352
149	1088	8344
150	1095	8335
151	1101	8321
152	1108	8308
153	1114	8290
154	1120	8274
155	1126	8259
156	1132	8242
157	1138	8227
158	1144	8212
159	1150	8197
160	1157	8186
161	1163	8174
162	1170	8161
163	1176	8146
164	1182	8133
165	1188	8121
